model,run,bucket,modality,mean_gate
mm_sasrec(id+image),ab_id_image_20260917-072250_7c02de,head,id,0.988292
mm_sasrec(id+image),ab_id_image_20260917-072250_7c02de,middle,id,0.98901
mm_sasrec(id+image),ab_id_image_20260917-072250_7c02de,tail,id,0.983521
mm_sasrec(id+image),ab_id_image_20260917-072250_7c02de,head,image,0.011708
mm_sasrec(id+image),ab_id_image_20260917-072250_7c02de,middle,image,0.01099
mm_sasrec(id+image),ab_id_image_20260917-072250_7c02de,tail,image,0.016479
mm_sasrec(id+text),ab_id_text_20260917-070902_10b539,head,id,0.977423
mm_sasrec(id+text),ab_id_text_20260917-070902_10b539,middle,id,0.981016
mm_sasrec(id+text),ab_id_text_20260917-070902_10b539,tail,id,0.97443
mm_sasrec(id+text),ab_id_text_20260917-070902_10b539,head,text,0.022577
mm_sasrec(id+text),ab_id_text_20260917-070902_10b539,middle,text,0.018984
mm_sasrec(id+text),ab_id_text_20260917-070902_10b539,tail,text,0.02557
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,head,id,0.962188
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,middle,id,0.963614
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,tail,id,0.954221
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,head,image,0.013619
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,middle,image,0.013901
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,tail,image,0.019336
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,head,text,0.024193
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,middle,text,0.022485
mm_sasrec(id+text+image),mm_gated_20260917-053644_dfe900,tail,text,0.026443
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,head,id,0.964006
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,middle,id,0.965477
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,tail,id,0.956229
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,head,image,0.012407
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,middle,image,0.01259
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,tail,image,0.017357
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,head,text,0.023587
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,middle,text,0.021933
mm_sasrec(id+text+image),mm_gated_s2026_20260917-055019_00d3df,tail,text,0.026414
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,head,id,0.96441
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,middle,id,0.964699
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,tail,id,0.952573
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,head,image,0.012591
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,middle,image,0.013131
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,tail,image,0.019306
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,head,text,0.022999
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,middle,text,0.02217
mm_sasrec(id+text+image),mm_gated_s3407_20260917-060306_0cecfd,tail,text,0.028121
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,head,id,0.960185
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,middle,id,0.959151
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,tail,id,0.943869
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,head,image,0.011809
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,middle,image,0.01215
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,tail,image,0.016834
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,head,text,0.020982
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,middle,text,0.019928
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,tail,text,0.023932
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,head,video,0.007024
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,middle,video,0.008772
mm_sasrec(id+text+image+video),ab_id_text_image_video_20260917-073834_5fb438,tail,video,0.015366
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,head,id,0.967123
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,middle,id,0.960792
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,tail,id,0.937897
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,head,image,0.016222
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,middle,image,0.019463
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,tail,image,0.029468
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,head,text,0.016655
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,middle,text,0.019745
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_20260917-053644_ec427f,tail,text,0.032634
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,head,id,0.966845
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,middle,id,0.961223
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,tail,id,0.940685
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,head,image,0.015321
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,middle,image,0.018122
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,tail,image,0.02723
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,head,text,0.017834
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,middle,text,0.020655
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s2026_20260917-060143_87b54b,tail,text,0.032085
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,head,id,0.966789
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,middle,id,0.960365
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,tail,id,0.937046
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,head,image,0.015286
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,middle,image,0.018829
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,tail,image,0.029138
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,head,text,0.017925
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,middle,text,0.020806
mm_sasrec_iddrop(id+text+image),mm_gated_iddrop_s3407_20260917-062440_09e6f2,tail,text,0.033816
