tag,dataset,model,fusion,modalities,id_dropout,item_dropout,seed,Recall@5,Recall@10,Recall@20,NDCG@5,NDCG@10,NDCG@20,MRR@20,Coverage@20,num_users,params,best_epoch,train_time_s,run_id
popular,base,popular,-,-,0.0,0.0,42,0.00127,0.00228,0.00356,0.000776,0.001106,0.001429,0.000843,0.002533,100000,0,0,3.314906,popular_20260917-052720_ef9928
bpr,base,bpr,-,-,0.0,0.0,42,0.01111,0.01977,0.03339,0.006864,0.009645,0.013069,0.007548,0.740855,100000,15326720,299,2174.595839,bpr_20260917-052736_83d397
sasrec,base,sasrec,-,id,0.0,0.0,42,0.05704,0.08663,0.12525,0.03751,0.047028,0.056762,0.037678,0.777536,100000,2929792,42,907.691861,sasrec_20260917-060603_47936c
sasrec_itemdrop,base,sasrec,-,id,0.0,0.2,42,0.0579,0.08893,0.12842,0.037818,0.047812,0.057769,0.038068,0.732546,100000,2929920,61,1215.919512,sasrec_itemdrop_20260917-053644_26a598
sasrec_itemdrop_s2026,base,sasrec,-,id,0.0,0.2,2026,0.05847,0.08913,0.12943,0.037802,0.047685,0.05782,0.037841,0.734826,100000,2929920,70,1285.149278,sasrec_itemdrop_s2026_20260917-055725_ff738d
sasrec_itemdrop_s3407,base,sasrec,-,id,0.0,0.2,3407,0.05881,0.0876,0.12716,0.038776,0.048079,0.058045,0.038767,0.760462,100000,2929920,97,1740.144967,sasrec_itemdrop_s3407_20260917-061912_d426c1
sasrec_s2026,base,sasrec,-,id,0.0,0.0,2026,0.05694,0.08443,0.12047,0.037288,0.046144,0.055209,0.036948,0.817611,100000,2929792,66,1260.746718,sasrec_s2026_20260917-060412_61f903
sasrec_s3407,base,sasrec,-,id,0.0,0.0,3407,0.056,0.08454,0.12153,0.036625,0.045829,0.055161,0.036613,0.809808,100000,2929792,69,1323.314892,sasrec_s3407_20260917-062531_92799b
mm_gated,base,mm_sasrec,gated,id+text+image,0.0,0.0,42,0.05578,0.08641,0.12721,0.036366,0.046219,0.056491,0.036853,0.714561,100000,3179395,20,790.962283,mm_gated_20260917-053644_dfe900
mm_gated_iddrop,base,mm_sasrec,gated,id+text+image,0.2,0.0,42,0.05853,0.08891,0.13114,0.038156,0.047924,0.058547,0.038365,0.790506,100000,3179395,50,1474.410524,mm_gated_iddrop_20260917-053644_ec427f
mm_gated_iddrop_s2026,base,mm_sasrec,gated,id+text+image,0.2,0.0,2026,0.05964,0.0905,0.13226,0.039082,0.049015,0.059523,0.03929,0.770189,100000,3179395,44,1353.907136,mm_gated_iddrop_s2026_20260917-060143_87b54b
mm_gated_iddrop_s3407,base,mm_sasrec,gated,id+text+image,0.2,0.0,3407,0.05956,0.09121,0.13084,0.039107,0.049297,0.059267,0.0393,0.806667,100000,3179395,52,1541.761718,mm_gated_iddrop_s3407_20260917-062440_09e6f2
mm_gated_s2026,base,mm_sasrec,gated,id+text+image,0.0,0.0,2026,0.05563,0.08639,0.12574,0.036474,0.046372,0.056272,0.036948,0.750076,100000,3179395,21,744.660624,mm_gated_s2026_20260917-055019_00d3df
mm_gated_s3407,base,mm_sasrec,gated,id+text+image,0.0,0.0,3407,0.05736,0.08748,0.12718,0.037632,0.047321,0.057322,0.037866,0.751647,100000,3179395,21,774.847737,mm_gated_s3407_20260917-060306_0cecfd
