candidate_k,source,top20_hits,share_of_hits,head_hits,head_users,middle_hits,middle_users,tail_hits,tail_users
100,popular,4,0.003472222222222222,4,3322,0,2283,0,4395
100,itemcf,286,0.2482638888888889,110,3322,77,2283,99,4395
100,semantic,45,0.0390625,6,3322,14,2283,25,4395
100,multiple,817,0.7092013888888888,372,3322,159,2283,286,4395
200,popular,7,0.005573248407643312,7,3322,0,2283,0,4395
200,itemcf,361,0.2874203821656051,142,3322,90,2283,129,4395
200,semantic,57,0.04538216560509554,15,3322,24,2283,18,4395
200,multiple,831,0.6616242038216561,392,3322,156,2283,283,4395
500,popular,28,0.020527859237536656,28,3322,0,2283,0,4395
500,itemcf,453,0.3321114369501466,180,3322,109,2283,164,4395
500,semantic,80,0.05865102639296188,30,3322,22,2283,28,4395
500,multiple,803,0.5887096774193549,381,3322,154,2283,268,4395
1000,popular,41,0.02964569775849602,41,3322,0,2283,0,4395
1000,itemcf,489,0.35357917570498915,194,3322,124,2283,171,4395
1000,semantic,90,0.0650759219088937,37,3322,21,2283,32,4395
1000,multiple,763,0.5516992046276211,364,3322,146,2283,253,4395
