semantic_id,num_items,internal_item_ids,raw_item_ids
10-173-183-252,5,4894 5041 6156 6248 6254,4893 5040 6155 6247 6253
160-134-106-197,4,8265 9140 17684 19684,8264 9139 17683 19683
10-114-157-248,3,2619 2669 4829,2618 2668 4828
126-96-184-68,3,8904 14920 16631,8903 14919 16630
212-35-213-100,3,1678 5372 6147,1677 5371 6146
108-1-7-123,2,1158 1288,1157 1287
13-43-104-118,2,14488 16910,14487 16909
131-126-186-219,2,13097 17736,13096 17735
131-7-238-107,2,4540 5046,4539 5045
143-204-126-87,2,8802 8859,8801 8858
154-240-95-98,2,2784 11355,2783 11354
157-103-147-99,2,1167 13999,1166 13998
160-243-53-164,2,8599 14861,8598 14860
160-70-77-221,2,1640 1841,1639 1840
161-2-250-198,2,7455 8167,7454 8166
162-115-228-37,2,14217 16738,14216 16737
165-164-101-43,2,6992 17321,6991 17320
167-51-86-105,2,7778 15878,7777 15877
173-20-76-85,2,3928 7409,3927 7408
173-235-80-50,2,17054 19396,17053 19395
177-237-125-50,2,10510 11128,10509 11127
189-237-10-154,2,8990 9003,8989 9002
19-105-180-206,2,197 249,196 248
20-198-203-31,2,3957 4077,3956 4076
203-147-239-62,2,8276 8352,8275 8351
209-7-215-203,2,14957 19404,14956 19403
216-188-139-0,2,4852 5086,4851 5085
218-42-85-74,2,12185 12888,12184 12887
224-47-137-177,2,6396 14996,6395 14995
226-205-100-7,2,13980 14875,13979 14874
233-23-241-13,2,17092 19549,17091 19548
26-82-20-76,2,4129 6226,4128 6225
39-125-109-33,2,12713 14993,12712 14992
44-165-127-141,2,3053 4317,3052 4316
69-95-126-193,2,14522 14931,14521 14930
75-145-135-58,2,2556 2613,2555 2612
81-121-209-245,2,1568 1608,1567 1607
87-198-199-11,2,16747 16748,16746 16747
